admin,0,admin@yorku.ca,admin123,admin
t1,1,t1@yorku.ca,t1t1,user
t2,2,t2@yorku.ca,t2t2,user
t3,3,t3@yorku.ca,t3t3,user
t4,4,t4@yorku.ca,t4t4,user
t5,5,t5@yorku.ca,t5t5,user
was up,6,up@yup,p@ass,user
was up,7,up@yu1p,p@ass,user
ab tab,8,a@yoklok,yum,user
toby lak,9,a@yok,yum,user
toby lak,10,a@yok1,yum,user
ak lak,11,e@l,pop,user
robo cop,12,robo@toof.com,of1,officer
yak yok,13,yak@yok,yak123,officer
lip lop,14,lip@w,yesnow,user
michel yesk,15,iyesk@1,iwant,user
aa bb,16,iyes@1,sass,user
obi wan kenobi,17,obi@jedi.com,vader12,officer
